uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment
775,Christopher Robin,2,0,https://www.youtube.com/watch?v=0URpDxIjZrQ,Christopher Robin Official Trailer,Walt Disney Studios,1,,-70,5/25/2018,14220308,227524,0,1,0,1,1,0
775,Christopher Robin,2,1,https://www.youtube.com/watch?v=425M4M3Opkk,Christopher Robin Official Teaser Trailer,Walt Disney Studios,,1,-150,3/6/2018,9140710,151051,16477,0,1,0,0,1
777,The Girl on the Train,2,0,https://www.youtube.com/watch?v=y5yk-HGqKmM,The Girl on the Train - Official Trailer - In Theaters October 7 (HD),Universal Pictures,1,,-81,7/18/2016,5332551,18271,1614,1,0,1,1,1
777,The Girl on the Train,2,1,https://www.youtube.com/watch?v=-CKPj4O5_9s,The Girl on the Train - Official Teaser Trailer - In Theaters October 7 (HD),Universal Pictures,,1,-170,4/20/2016,4652609,8707,1348,0,1,0,0,0
778,The Emoji Movie,1,0,https://www.youtube.com/watch?v=r8pJt4dK_s4,THE EMOJI MOVIE - Official Trailer (HD),Sony Pictures Entertainment,1,,-73,5/16/2017,18380425,49805,43241,1,1,1,1,1
779,Pet Sematary,2,0,https://www.youtube.com/watch?v=VllcgXSIJkE,Pet Sematary (2019)- Official Trailer- Paramount Pictures,Paramount Pictures,1,,-177,10/10/2018,13593161,67955,9814,0,0,1,1,1
779,Pet Sematary,2,1,https://www.youtube.com/watch?v=XakmsXltPkA,Pet Sematary (2019) - Final Trailer - Paramount Pictures,Paramount Pictures,1,,-4,4/1/2019,5218884,19623,1623,1,1,0,0,0
780,Act of Valor,1,0,https://www.youtube.com/watch?v=35b_UqGYZgw,Act Of Valor Official Movie Trailer [HD],eOnefilms,1,,-108,11/8/2011,1235816,3660,478,1,1,1,1,1
784,Race to Witch Mountain,1,0,https://www.youtube.com/watch?v=iNJYpI_LNFA,Race to Witch Mountain Trailer HD,ComingSoonFilm,1,,-114,11/19/2008,1188133,7678,315,1,1,1,1,1
785,Contraband,1,0,https://www.youtube.com/watch?v=Rp0b5ZXIUvE,Contraband - Trailer,Universal Pictures,1,,-105,9/30/2011,1171625,1960,109,1,1,1,1,1
790,No Good Deed,1,0,https://www.youtube.com/watch?v=G5VeowxERwM,No Good Deed - Official Trailer - In Theaters September 12th,Sony Pictures Entertainment,1,,-92,6/12/2014,4108288,10455,794,1,1,1,1,1
795,Maze Runner: The Death Cure,2,0,https://www.youtube.com/watch?v=4-BTxXm8KSg,Maze Runner: The Death Cure | Official Final Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-49,12/8/2017,21366161,127980,10805,1,0,1,1,1
795,Maze Runner: The Death Cure,2,1,https://www.youtube.com/watch?v=S_9OSktlm6s,Maze Runner: The Death Cure | Official Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-124,9/24/2017,9729306,90381,7631,0,1,0,0,0
796,Warcraft,1,0,https://www.youtube.com/watch?v=2Rxoz13Bthc,Warcraft - Official Trailer (HD),Legendary,1,,-217,11/6/2015,28823799,146195,23112,1,1,1,1,1
798,Exodus: Gods and Kings,2,0,https://www.youtube.com/watch?v=t-8YsulfxVI,Exodus: Gods and Kings | Official Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-72,10/1/2014,15320733,41822,9827,0,0,1,1,1
798,Exodus: Gods and Kings,2,1,https://www.youtube.com/watch?v=6k8qeqZycgE,Exodus: Gods and Kings | Official Final Trailer [HD] | 20th Century FOX,20th Century Studios,1,,-31,11/11/2014,732932,1448,340,1,1,0,0,0
800,21,1,0,https://www.youtube.com/watch?v=oqkdB7It5Go,21 trailer,Sony Pictures Entertainment,1,,-122,11/27/2007,562919,2251,56,1,1,1,1,1
