uniqueID,movie_name,video_url,video_title,channel,score,id,official,teaser,days_diff,need_extra_attention,need_to_select_trailer
42,Deadpool 2,https://www.youtube.com/watch?v=20bpjtCbCz0,Deadpool 2: The Final Trailer,20th Century Studios,0.67,2,1,,-29,0,0
,,,,,,,,,,,
43,Harry Potter and the Deathly Hallows: Part 1,https://www.youtube.com/watch?v=Su1LOpjvdZ4,Harry Potter and the Deathly Hallows - Main Trailer,Warner Bros. Pictures,0.78,1,1,,-58,0,0
,,,,,,,,,,,
44,It,https://www.youtube.com/watch?v=xKJmEC5ieOk,IT - Official Trailer 1,Warner Bros. Pictures,1.0,1,1,,-43,0,0
44,It,https://www.youtube.com/watch?v=FnCdOQsX5kc,IT - Official Teaser Trailer,Warner Bros. Pictures,1.0,2,,1,-163,0,0
,,,,,,,,,,,
45,Thor: Ragnarok,https://www.youtube.com/watch?v=ue80QwXMRHg,Thor: Ragnarok Official Trailer,Marvel Entertainment,1.0,1,1,,-104,0,0
45,Thor: Ragnarok,https://www.youtube.com/watch?v=v7MGUNV8MxU,Thor: Ragnarok Teaser Trailer [HD],Marvel Entertainment,0.75,2,,1,-207,0,0
,,,,,,,,,,,
46,The Hunger Games: Mockingjay - Part 1,https://www.youtube.com/watch?v=IXshQ5mv1K8,The Hunger Games: Mockingjay Part 1 (Jennifer Lawrence) Final Trailer – “Burn”,The Hunger Games,0.86,1,1,,-23,0,0
46,The Hunger Games: Mockingjay - Part 1,https://www.youtube.com/watch?v=C_Tsj_wTJkQ,The Hunger Games: Mockingjay Part 1 – “The Mockingjay Lives” Official Trailer,The Hunger Games,1.0,2,1,,-67,0,0
,,,,,,,,,,,
48,Toy Story 4,https://www.youtube.com/watch?v=wmiIUN-7qhE,Toy Story 4 | Official Trailer,Pixar,1.0,1,1,,-94,0,0
48,Toy Story 4,https://www.youtube.com/watch?v=LDXYRzerjzU,Toy Story 4 | Official Teaser Trailer,Pixar,1.0,2,,1,-221,0,0
48,Toy Story 4,https://www.youtube.com/watch?v=Pl9JS8-gnWQ,Toy Story 4 | Official Trailer 2,Pixar,1.0,3,1,,-31,0,0
,,,,,,,,,,,
49,Spider-Man: Homecoming,https://www.youtube.com/watch?v=rk-dF1lIbIg,SPIDER-MAN: HOMECOMING - Official Trailer (HD),Sony Pictures Entertainment,1.0,1,1,,-210,0,0
49,Spider-Man: Homecoming,https://www.youtube.com/watch?v=DiTECkLZ8HM,SPIDER-MAN: HOMECOMING - Official Trailer #2 (HD),Sony Pictures Entertainment,1.0,2,1,,-101,0,0
49,Spider-Man: Homecoming,https://www.youtube.com/watch?v=lCkVr1n1eCA,SPIDER-MAN: HOMECOMING - Official International Trailer (HD),Sony Pictures Entertainment,1.0,3,,,-210,0,0
49,Spider-Man: Homecoming,https://www.youtube.com/watch?v=xEvV3OsE2WM,SPIDER-MAN: HOMECOMING - Official Trailer #3 (HD),Sony Pictures Entertainment,1.0,4,1,,-44,0,0
