movie_name,video_url,video_title,channel,score,id,official_trailer,known_channels_used,official,teaser
Man of Steel,https://www.youtube.com/watch?v=T6DJcgm3wNY,Man of Steel - Official Trailer 3 [HD],Warner Bros. Pictures,1.0,1,1,1,1,
Man of Steel,https://www.youtube.com/watch?v=KVu3gS7iJu4,Man of Steel - Official Trailer #2 [HD],Warner Bros. Pictures,1.0,2,1,1,1,
Man of Steel,https://www.youtube.com/watch?v=NlOF03DUoWc,"Man of Steel - ""Fate of Your Planet"" Official Trailer [HD]",Warner Bros. Pictures,1.0,3,1,1,1,
Man of Steel,https://www.youtube.com/watch?v=-cYR5MFb8Rc,Man of Steel - Official Teaser Trailer: Jonathan Kent [HD],Warner Bros. Pictures,1.0,4,1,1,,1
Man of Steel,https://www.youtube.com/watch?v=jgrvm6OI_9Q,Man of Steel - Official Teaser Trailer: Jor-El [HD],Warner Bros. Pictures,1.0,5,1,1,,1
,,,,,,,,,
Wonder Woman,https://www.youtube.com/watch?v=1Q8fG0TtVAY,WONDER WOMAN - Official Trailer [HD],Warner Bros. Pictures,1.0,1,1,1,1,
Wonder Woman,https://www.youtube.com/watch?v=VSB4wGIdDwo,WONDER WOMAN – Rise of the Warrior [Official Final Trailer],Warner Bros. Pictures,1.0,2,1,1,1,
Wonder Woman,https://www.youtube.com/watch?v=5lGoQhFb4NM,WONDER WOMAN Comic-Con Trailer,Warner Bros. Pictures,0.75,3,1,1,,
Wonder Woman,https://www.youtube.com/watch?v=INLzqh7rZ-U,WONDER WOMAN - Official Origin Trailer,Warner Bros. Pictures,1.0,4,1,1,1,
,,,,,,,,,
The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=n-7K_OjsDCQ,The Hunger Games: Mockingjay Part 2 Official Trailer – “We March Together”,The Hunger Games,1.0,1,1,1,1,
The Hunger Games: Mockingjay - Part 2,https://www.youtube.com/watch?v=SoKIqLEGhI0,The Hunger Games: Mockingjay Part 2 Official Trailer – “Welcome To The 76th Hunger Games”,The Hunger Games,1.0,2,1,1,1,
